employee_id,review_period,score,promoted,manager_notes_tag
1,2022-H1,3.0,False,Struggling
1,2022-H2,2.8,False,Struggling
1,2023-H1,3.1,False,Struggling
1,2023-H2,3.1,False,Struggling
1,2024-H1,2.9,False,Struggling
1,2024-H2,3.2,False,Struggling
1,2025-H1,3.0,False,Struggling
1,2025-H2,3.0,False,Struggling
1,2026-H1,3.0,False,Struggling
2,2022-H2,4.7,False,Star
2,2023-H1,4.8,False,Star
2,2023-H2,5.0,True,Star
2,2024-H1,4.7,False,Star
2,2024-H2,4.9,False,Star
2,2025-H1,4.6,False,Star
2,2025-H2,4.7,False,Star
2,2026-H1,5.0,False,Star
3,2022-H1,2.9,False,Struggling
3,2022-H2,3.2,False,Struggling
4,2024-H2,4.8,True,Star
4,2025-H1,4.5,False,Star
4,2025-H2,4.3,False,Reliable
4,2026-H1,4.4,False,Reliable
5,2026-H1,1.9,False,At-Risk
6,2022-H1,3.4,False,Struggling
6,2022-H2,3.6,False,Reliable
6,2023-H1,3.3,False,Struggling
6,2023-H2,3.5,False,Reliable
6,2024-H1,3.1,False,Struggling
6,2024-H2,3.3,False,Struggling
6,2025-H1,3.2,False,Struggling
6,2025-H2,3.2,False,Struggling
6,2026-H1,3.2,False,Struggling
7,2024-H1,1.4,False,At-Risk
8,2025-H2,2.4,False,At-Risk
8,2026-H1,2.3,False,At-Risk
9,2023-H1,2.8,False,Struggling
9,2023-H2,3.7,False,Reliable
10,2024-H1,3.0,False,Struggling
10,2024-H2,2.6,False,Struggling
10,2025-H1,1.8,False,At-Risk
10,2025-H2,1.9,False,At-Risk
11,2022-H1,3.7,False,Reliable
11,2022-H2,3.6,False,Reliable
11,2023-H1,3.6,False,Reliable
11,2023-H2,3.9,False,Reliable
11,2024-H1,4.0,False,Reliable
11,2024-H2,3.7,False,Reliable
11,2025-H1,4.1,False,Reliable
11,2025-H2,3.6,False,Reliable
11,2026-H1,3.9,False,Reliable
12,2025-H1,5.0,False,Star
12,2025-H2,4.6,False,Star
12,2026-H1,4.8,True,Star
13,2024-H1,3.1,False,Struggling
13,2024-H2,3.1,False,Struggling
13,2025-H1,2.6,False,Struggling
13,2025-H2,2.9,False,Struggling
13,2026-H1,2.6,False,Struggling
14,2023-H1,3.6,False,Reliable
14,2023-H2,3.3,False,Struggling
14,2024-H1,3.6,False,Reliable
14,2024-H2,2.3,False,At-Risk
15,2023-H1,2.9,False,Struggling
15,2023-H2,2.3,False,At-Risk
16,2024-H1,4.1,False,Reliable
16,2024-H2,4.3,False,Reliable
16,2025-H1,4.3,False,Reliable
16,2025-H2,2.5,False,Struggling
16,2026-H1,2.9,False,Struggling
17,2025-H1,3.4,False,Struggling
17,2025-H2,4.0,False,Reliable
17,2026-H1,3.5,False,Reliable
18,2023-H2,4.6,False,Star
18,2024-H1,3.6,False,Reliable
19,2022-H2,4.1,False,Reliable
19,2023-H1,4.5,False,Star
19,2023-H2,4.1,False,Reliable
19,2024-H1,4.2,False,Reliable
19,2024-H2,4.1,False,Reliable
19,2025-H1,4.2,False,Reliable
19,2025-H2,4.1,False,Reliable
19,2026-H1,4.1,False,Reliable
20,2023-H1,3.1,False,Struggling
20,2023-H2,3.0,False,Struggling
20,2024-H1,3.5,False,Reliable
20,2024-H2,1.8,False,At-Risk
20,2025-H1,2.2,False,At-Risk
21,2022-H1,2.6,False,Struggling
21,2022-H2,2.9,False,Struggling
21,2023-H1,1.2,False,At-Risk
22,2022-H2,2.8,False,Struggling
22,2023-H1,2.6,False,Struggling
22,2023-H2,2.7,False,Struggling
22,2024-H1,2.9,False,Struggling
22,2024-H2,2.6,False,Struggling
22,2025-H1,2.9,False,Struggling
22,2025-H2,2.7,False,Struggling
22,2026-H1,2.5,False,Struggling
23,2022-H2,4.5,False,Star
23,2023-H1,2.9,False,Struggling
23,2023-H2,2.5,False,Struggling
24,2023-H1,3.9,False,Reliable
24,2023-H2,3.7,False,Reliable
24,2024-H1,3.7,False,Reliable
24,2024-H2,4.0,False,Reliable
24,2025-H1,3.7,False,Reliable
24,2025-H2,3.7,False,Reliable
24,2026-H1,3.8,False,Reliable
25,2024-H2,3.9,False,Reliable
25,2025-H1,3.6,False,Reliable
25,2025-H2,3.6,False,Reliable
25,2026-H1,3.9,False,Reliable
26,2022-H2,1.8,False,At-Risk
27,2023-H2,3.4,False,Struggling
27,2024-H1,1.5,False,At-Risk
28,2024-H2,3.6,False,Reliable
28,2025-H1,3.4,False,Struggling
28,2025-H2,3.2,False,Struggling
28,2026-H1,3.6,False,Reliable
29,2024-H2,1.6,False,At-Risk
30,2022-H2,4.7,False,Star
30,2023-H1,2.8,False,Struggling
30,2023-H2,3.6,False,Reliable
32,2024-H2,3.7,False,Reliable
32,2025-H1,1.8,False,At-Risk
32,2025-H2,2.5,False,Struggling
33,2025-H1,4.5,True,Star
33,2025-H2,4.7,False,Star
33,2026-H1,4.5,False,Star
34,2023-H1,3.1,False,Struggling
34,2023-H2,3.1,False,Struggling
34,2024-H1,2.7,False,Struggling
34,2024-H2,2.7,False,Struggling
34,2025-H1,2.9,False,Struggling
34,2025-H2,2.9,False,Struggling
34,2026-H1,2.8,False,Struggling
35,2024-H1,4.5,False,Star
35,2024-H2,3.3,False,Struggling
36,2022-H2,3.0,False,Struggling
36,2023-H1,2.9,False,Struggling
36,2023-H2,2.8,False,Struggling
36,2024-H1,2.5,False,Struggling
36,2024-H2,2.8,False,Struggling
36,2025-H1,2.7,False,Struggling
36,2025-H2,2.6,False,Struggling
36,2026-H1,2.7,False,Struggling
37,2025-H1,3.3,False,Struggling
38,2023-H1,3.2,False,Struggling
38,2023-H2,3.3,False,Struggling
38,2024-H1,3.3,False,Struggling
38,2024-H2,3.3,False,Struggling
38,2025-H1,3.3,False,Struggling
38,2025-H2,3.2,False,Struggling
38,2026-H1,3.2,False,Struggling
39,2022-H2,3.9,False,Reliable
39,2023-H1,4.1,False,Reliable
39,2023-H2,4.1,False,Reliable
39,2024-H1,3.8,False,Reliable
39,2024-H2,4.0,False,Reliable
39,2025-H1,3.9,False,Reliable
39,2025-H2,4.4,False,Reliable
39,2026-H1,4.3,False,Reliable
40,2022-H2,4.2,False,Reliable
40,2023-H1,2.9,False,Struggling
40,2023-H2,2.8,False,Struggling
43,2023-H2,4.9,False,Star
43,2024-H1,4.6,False,Star
43,2024-H2,4.7,False,Star
43,2025-H1,4.8,False,Star
43,2025-H2,4.6,False,Star
43,2026-H1,4.5,False,Star
44,2025-H2,3.2,False,Struggling
44,2026-H1,3.3,False,Struggling
45,2022-H2,2.5,False,Struggling
46,2025-H1,4.8,False,Star
46,2025-H2,4.3,False,Reliable
46,2026-H1,4.4,False,Reliable
47,2026-H1,4.1,False,Reliable
48,2025-H2,4.3,False,Reliable
48,2026-H1,4.0,False,Reliable
49,2024-H1,3.4,False,Struggling
49,2024-H2,3.4,False,Struggling
49,2025-H1,3.5,False,Reliable
49,2025-H2,3.6,False,Reliable
49,2026-H1,3.3,False,Struggling
50,2023-H2,3.5,False,Reliable
50,2024-H1,3.0,False,Struggling
50,2024-H2,3.4,False,Struggling
50,2025-H1,3.0,False,Struggling
50,2025-H2,3.5,False,Reliable
50,2026-H1,3.3,False,Struggling
51,2024-H2,2.9,False,Struggling
51,2025-H1,3.4,False,Struggling
51,2025-H2,3.2,False,Struggling
51,2026-H1,3.2,False,Struggling
52,2023-H2,3.0,False,Struggling
52,2024-H1,3.2,False,Struggling
52,2024-H2,3.3,False,Struggling
52,2025-H1,2.9,False,Struggling
52,2025-H2,2.9,False,Struggling
52,2026-H1,2.9,False,Struggling
53,2024-H1,2.7,False,Struggling
53,2024-H2,2.5,False,Struggling
53,2025-H1,2.5,False,Struggling
53,2025-H2,2.7,False,Struggling
53,2026-H1,2.9,False,Struggling
54,2023-H2,2.3,False,At-Risk
55,2023-H2,2.8,False,Struggling
55,2024-H1,1.7,False,At-Risk
56,2024-H1,4.6,False,Star
56,2024-H2,4.7,False,Star
56,2025-H1,4.7,False,Star
56,2025-H2,4.4,True,Reliable
56,2026-H1,4.6,False,Star
57,2022-H2,3.0,False,Struggling
57,2023-H1,2.8,False,Struggling
57,2023-H2,2.5,False,Struggling
57,2024-H1,2.8,False,Struggling
57,2024-H2,2.7,False,Struggling
57,2025-H1,2.6,False,Struggling
57,2025-H2,2.9,False,Struggling
57,2026-H1,3.0,False,Struggling
58,2023-H2,3.9,False,Reliable
58,2024-H1,4.1,False,Reliable
58,2024-H2,3.1,False,Struggling
59,2023-H1,3.8,False,Reliable
59,2023-H2,3.8,False,Reliable
59,2024-H1,3.7,False,Reliable
59,2024-H2,1.9,False,At-Risk
60,2024-H2,2.6,False,Struggling
60,2025-H1,2.6,False,Struggling
60,2025-H2,1.3,False,At-Risk
61,2024-H2,1.6,False,At-Risk
62,2024-H2,3.1,False,Struggling
62,2025-H1,3.2,False,Struggling
62,2025-H2,2.5,False,Struggling
62,2026-H1,2.1,False,At-Risk
64,2025-H2,3.6,False,Reliable
64,2026-H1,3.6,False,Reliable
65,2023-H2,3.5,False,Reliable
65,2024-H1,3.6,False,Reliable
65,2024-H2,2.8,False,Struggling
66,2025-H2,4.5,False,Star
66,2026-H1,4.0,False,Reliable
67,2024-H1,3.8,False,Reliable
67,2024-H2,2.6,False,Struggling
68,2025-H1,2.8,False,Struggling
68,2025-H2,3.3,False,Struggling
69,2024-H2,4.5,False,Star
69,2025-H1,4.0,False,Reliable
69,2025-H2,4.1,False,Reliable
69,2026-H1,4.2,False,Reliable
70,2025-H1,3.4,False,Struggling
70,2025-H2,3.3,False,Struggling
70,2026-H1,3.1,False,Struggling
71,2024-H2,2.9,False,Struggling
72,2022-H2,2.5,False,Struggling
72,2023-H1,2.4,False,At-Risk
72,2023-H2,2.5,False,Struggling
72,2024-H1,2.7,False,Struggling
72,2024-H2,2.6,False,Struggling
72,2025-H1,2.4,False,At-Risk
72,2025-H2,2.9,False,Struggling
72,2026-H1,2.7,False,Struggling
73,2025-H1,4.3,False,Reliable
73,2025-H2,3.6,False,Reliable
73,2026-H1,3.0,False,Struggling
74,2024-H2,3.8,False,Reliable
74,2025-H1,3.9,False,Reliable
74,2025-H2,2.7,False,Struggling
74,2026-H1,2.3,False,At-Risk
75,2022-H1,4.1,False,Reliable
75,2022-H2,4.1,False,Reliable
75,2023-H1,4.5,False,Star
75,2023-H2,4.3,False,Reliable
75,2024-H1,4.2,False,Reliable
75,2024-H2,4.3,False,Reliable
75,2025-H1,4.1,False,Reliable
75,2025-H2,4.0,False,Reliable
75,2026-H1,4.2,True,Reliable
76,2024-H2,4.5,False,Star
76,2025-H1,4.8,False,Star
76,2025-H2,4.8,False,Star
76,2026-H1,4.7,False,Star
77,2023-H1,3.7,False,Reliable
77,2023-H2,3.4,False,Struggling
77,2024-H1,3.8,False,Reliable
77,2024-H2,3.8,False,Reliable
77,2025-H1,3.4,False,Struggling
77,2025-H2,3.3,False,Struggling
77,2026-H1,3.3,False,Struggling
78,2024-H1,4.6,False,Star
78,2024-H2,2.7,False,Struggling
78,2025-H1,3.2,False,Struggling
79,2024-H1,3.5,False,Reliable
79,2024-H2,3.3,False,Struggling
79,2025-H1,3.1,False,Struggling
79,2025-H2,3.2,False,Struggling
79,2026-H1,3.3,False,Struggling
80,2024-H2,3.4,False,Struggling
80,2025-H1,3.4,False,Struggling
80,2025-H2,2.1,False,At-Risk
80,2026-H1,1.7,False,At-Risk
81,2023-H2,4.7,False,Star
81,2024-H1,4.7,False,Star
81,2024-H2,4.8,False,Star
81,2025-H1,4.5,False,Star
81,2025-H2,4.3,True,Reliable
81,2026-H1,4.4,False,Reliable
82,2024-H2,1.8,False,At-Risk
82,2025-H1,2.6,False,Struggling
83,2023-H2,3.2,False,Struggling
83,2024-H1,1.9,False,At-Risk
84,2024-H1,3.5,False,Reliable
84,2024-H2,3.5,False,Reliable
85,2023-H2,4.9,False,Star
85,2024-H1,4.5,False,Star
85,2024-H2,4.8,False,Star
85,2025-H1,4.4,False,Reliable
85,2025-H2,4.6,True,Star
85,2026-H1,4.4,False,Reliable
86,2023-H1,4.5,False,Star
86,2023-H2,4.4,False,Reliable
86,2024-H1,3.2,False,Struggling
86,2024-H2,3.0,False,Struggling
87,2025-H1,2.6,False,Struggling
87,2025-H2,3.0,False,Struggling
87,2026-H1,2.6,False,Struggling
88,2024-H1,3.8,False,Reliable
88,2024-H2,3.6,False,Reliable
88,2025-H1,1.9,False,At-Risk
88,2025-H2,2.3,False,At-Risk
89,2024-H2,2.3,False,At-Risk
89,2025-H1,2.8,False,Struggling
89,2025-H2,2.5,False,Struggling
89,2026-H1,2.5,False,Struggling
90,2025-H2,2.0,False,At-Risk
91,2023-H2,2.4,False,At-Risk
91,2024-H1,2.8,False,Struggling
91,2024-H2,2.4,False,At-Risk
91,2025-H1,2.5,False,Struggling
91,2025-H2,2.3,False,At-Risk
91,2026-H1,2.6,False,Struggling
92,2023-H2,4.7,False,Star
92,2024-H1,4.8,False,Star
92,2024-H2,4.3,False,Reliable
92,2025-H1,4.2,False,Reliable
92,2025-H2,4.6,False,Star
92,2026-H1,4.5,False,Star
93,2024-H1,3.9,False,Reliable
93,2024-H2,2.7,False,Struggling
94,2023-H2,3.0,False,Struggling
94,2024-H1,2.7,False,Struggling
94,2024-H2,2.6,False,Struggling
94,2025-H1,2.8,False,Struggling
94,2025-H2,2.8,False,Struggling
94,2026-H1,2.7,False,Struggling
95,2026-H1,1.6,False,At-Risk
96,2024-H2,4.2,False,Reliable
96,2025-H1,4.1,False,Reliable
96,2025-H2,4.2,False,Reliable
96,2026-H1,4.5,False,Star
97,2024-H2,3.3,False,Struggling
97,2025-H1,3.5,False,Reliable
97,2025-H2,3.5,False,Reliable
97,2026-H1,3.1,False,Struggling
98,2025-H1,1.3,False,At-Risk
98,2025-H2,1.0,False,At-Risk
99,2023-H1,4.0,False,Reliable
99,2023-H2,4.0,False,Reliable
99,2024-H1,4.1,False,Reliable
99,2024-H2,3.7,False,Reliable
99,2025-H1,4.1,False,Reliable
99,2025-H2,3.7,False,Reliable
99,2026-H1,4.1,False,Reliable
100,2025-H1,1.5,False,At-Risk
100,2025-H2,2.1,False,At-Risk
101,2023-H2,3.2,False,Struggling
101,2024-H1,2.2,False,At-Risk
102,2024-H2,1.7,False,At-Risk
103,2025-H1,2.8,False,Struggling
103,2025-H2,2.6,False,Struggling
103,2026-H1,2.3,False,At-Risk
104,2025-H1,3.1,False,Struggling
104,2025-H2,2.9,False,Struggling
104,2026-H1,2.8,False,Struggling
105,2024-H2,4.4,False,Reliable
105,2025-H1,4.1,False,Reliable
105,2025-H2,4.3,False,Reliable
105,2026-H1,4.2,False,Reliable
106,2024-H1,2.3,False,At-Risk
106,2024-H2,3.1,False,Struggling
107,2022-H2,3.8,False,Reliable
107,2023-H1,4.1,False,Reliable
107,2023-H2,4.1,False,Reliable
107,2024-H1,4.1,False,Reliable
107,2024-H2,4.2,False,Reliable
107,2025-H1,4.2,False,Reliable
107,2025-H2,4.2,False,Reliable
107,2026-H1,3.9,False,Reliable
109,2023-H2,2.2,False,At-Risk
110,2023-H1,4.2,False,Reliable
110,2023-H2,3.7,False,Reliable
110,2024-H1,2.9,False,Struggling
111,2023-H2,3.2,False,Struggling
111,2024-H1,3.1,False,Struggling
111,2024-H2,2.7,False,Struggling
111,2025-H1,1.7,False,At-Risk
112,2023-H2,1.0,False,At-Risk
112,2024-H1,1.3,False,At-Risk
113,2023-H2,2.6,False,Struggling
113,2024-H1,2.4,False,At-Risk
113,2024-H2,2.4,False,At-Risk
113,2025-H1,2.4,False,At-Risk
113,2025-H2,2.6,False,Struggling
113,2026-H1,2.8,False,Struggling
114,2026-H1,4.0,False,Reliable
115,2023-H1,4.3,False,Reliable
115,2023-H2,4.0,False,Reliable
115,2024-H1,3.0,False,Struggling
115,2024-H2,2.8,False,Struggling
116,2024-H2,2.8,False,Struggling
116,2025-H1,2.8,False,Struggling
117,2025-H1,3.5,False,Reliable
117,2025-H2,1.8,False,At-Risk
117,2026-H1,1.7,False,At-Risk
119,2023-H2,4.7,False,Star
119,2024-H1,4.9,True,Star
119,2024-H2,4.6,True,Star
119,2025-H1,4.6,False,Star
119,2025-H2,4.9,True,Star
119,2026-H1,4.7,False,Star
120,2024-H2,3.9,False,Reliable
120,2025-H1,2.8,False,Struggling
120,2025-H2,2.5,False,Struggling
121,2023-H2,4.1,False,Reliable
121,2024-H1,4.2,True,Reliable
121,2024-H2,4.2,False,Reliable
121,2025-H1,4.2,True,Reliable
121,2025-H2,4.1,False,Reliable
121,2026-H1,3.9,False,Reliable
122,2025-H2,2.8,False,Struggling
122,2026-H1,3.0,False,Struggling
124,2023-H1,3.9,False,Reliable
124,2023-H2,3.6,False,Reliable
124,2024-H1,3.5,False,Reliable
124,2024-H2,3.7,False,Reliable
124,2025-H1,3.5,False,Reliable
124,2025-H2,3.7,False,Reliable
124,2026-H1,3.9,False,Reliable
125,2024-H2,1.2,False,At-Risk
126,2023-H1,3.6,False,Reliable
126,2023-H2,3.8,False,Reliable
126,2024-H1,3.2,False,Struggling
126,2024-H2,2.2,False,At-Risk
127,2024-H1,3.0,False,Struggling
127,2024-H2,3.2,False,Struggling
127,2025-H1,3.2,False,Struggling
127,2025-H2,2.1,False,At-Risk
127,2026-H1,1.9,False,At-Risk
128,2025-H2,3.0,False,Struggling
128,2026-H1,3.4,False,Struggling
130,2023-H1,3.8,False,Reliable
130,2023-H2,3.8,False,Reliable
130,2024-H1,1.9,False,At-Risk
131,2024-H1,2.6,False,Struggling
131,2024-H2,2.5,False,Struggling
131,2025-H1,3.1,False,Struggling
131,2025-H2,2.8,False,Struggling
131,2026-H1,2.5,False,Struggling
132,2022-H1,3.8,False,Reliable
132,2022-H2,3.6,False,Reliable
132,2023-H1,3.8,False,Reliable
132,2023-H2,3.9,False,Reliable
132,2024-H1,3.6,False,Reliable
132,2024-H2,3.7,False,Reliable
132,2025-H1,3.6,False,Reliable
132,2025-H2,3.4,False,Struggling
132,2026-H1,3.6,False,Reliable
133,2023-H2,3.9,False,Reliable
133,2024-H1,3.9,False,Reliable
133,2024-H2,4.3,False,Reliable
133,2025-H1,4.1,False,Reliable
133,2025-H2,4.1,False,Reliable
133,2026-H1,4.0,False,Reliable
134,2022-H2,4.4,True,Reliable
134,2023-H1,4.4,False,Reliable
134,2023-H2,4.5,False,Star
134,2024-H1,4.7,False,Star
134,2024-H2,4.6,False,Star
134,2025-H1,4.7,False,Star
134,2025-H2,4.4,True,Reliable
134,2026-H1,4.5,False,Star
135,2026-H1,4.2,False,Reliable
136,2022-H2,3.4,False,Struggling
136,2023-H1,3.7,False,Reliable
136,2023-H2,2.6,False,Struggling
136,2024-H1,2.3,False,At-Risk
137,2025-H2,3.4,False,Struggling
137,2026-H1,3.1,False,Struggling
138,2025-H2,1.8,False,At-Risk
138,2026-H1,2.0,False,At-Risk
139,2024-H1,4.0,False,Reliable
139,2024-H2,3.9,False,Reliable
139,2025-H1,3.8,False,Reliable
139,2025-H2,4.1,False,Reliable
139,2026-H1,4.1,False,Reliable
140,2023-H2,3.6,False,Reliable
141,2025-H2,4.2,True,Reliable
141,2026-H1,4.2,False,Reliable
142,2022-H2,4.5,False,Star
142,2023-H1,4.9,False,Star
142,2023-H2,4.9,False,Star
142,2024-H1,5.0,False,Star
142,2024-H2,4.9,True,Star
142,2025-H1,4.7,False,Star
142,2025-H2,4.6,False,Star
142,2026-H1,4.7,False,Star
143,2023-H2,4.3,False,Reliable
143,2024-H1,4.4,False,Reliable
143,2024-H2,4.4,False,Reliable
143,2025-H1,4.6,False,Star
143,2025-H2,4.3,False,Reliable
143,2026-H1,4.4,True,Reliable
144,2023-H1,3.8,False,Reliable
144,2023-H2,3.9,False,Reliable
144,2024-H1,4.0,False,Reliable
144,2024-H2,4.0,False,Reliable
144,2025-H1,4.0,False,Reliable
144,2025-H2,3.6,False,Reliable
144,2026-H1,3.7,False,Reliable
145,2026-H1,3.2,False,Struggling
146,2025-H2,4.7,False,Star
146,2026-H1,4.8,False,Star
147,2024-H1,4.4,False,Reliable
147,2024-H2,4.6,False,Star
147,2025-H1,4.5,False,Star
147,2025-H2,4.6,False,Star
147,2026-H1,4.6,True,Star
148,2023-H1,3.4,False,Struggling
148,2023-H2,3.6,False,Reliable
148,2024-H1,1.9,False,At-Risk
149,2024-H2,3.7,False,Reliable
149,2025-H1,4.0,False,Reliable
149,2025-H2,4.2,False,Reliable
149,2026-H1,4.0,False,Reliable
150,2022-H2,1.3,False,At-Risk
151,2024-H1,3.1,False,Struggling
151,2024-H2,2.3,False,At-Risk
152,2024-H1,4.6,False,Star
152,2024-H2,4.8,False,Star
152,2025-H1,4.8,False,Star
152,2025-H2,3.7,False,Reliable
152,2026-H1,3.3,False,Struggling
153,2024-H2,4.5,False,Star
153,2025-H1,4.1,False,Reliable
153,2025-H2,4.4,False,Reliable
153,2026-H1,4.3,False,Reliable
155,2026-H1,3.5,False,Reliable
156,2023-H1,4.0,False,Reliable
156,2023-H2,4.0,False,Reliable
156,2024-H1,4.2,False,Reliable
156,2024-H2,4.1,False,Reliable
156,2025-H1,4.4,False,Reliable
156,2025-H2,4.1,False,Reliable
156,2026-H1,4.1,False,Reliable
157,2025-H2,4.4,False,Reliable
157,2026-H1,4.1,False,Reliable
158,2023-H1,2.8,False,Struggling
158,2023-H2,2.9,False,Struggling
158,2024-H1,3.0,False,Struggling
158,2024-H2,3.1,False,Struggling
158,2025-H1,3.0,False,Struggling
158,2025-H2,2.8,False,Struggling
158,2026-H1,3.3,False,Struggling
160,2025-H2,3.9,False,Reliable
160,2026-H1,3.7,False,Reliable
161,2023-H2,4.4,False,Reliable
161,2024-H1,4.2,False,Reliable
161,2024-H2,4.5,False,Star
161,2025-H1,4.2,False,Reliable
161,2025-H2,4.3,True,Reliable
161,2026-H1,4.2,False,Reliable
163,2023-H1,2.3,False,At-Risk
163,2023-H2,2.4,False,At-Risk
163,2024-H1,2.6,False,Struggling
163,2024-H2,2.4,False,At-Risk
163,2025-H1,2.4,False,At-Risk
163,2025-H2,2.7,False,Struggling
163,2026-H1,2.5,False,Struggling
164,2022-H2,2.7,False,Struggling
164,2023-H1,2.3,False,At-Risk
164,2023-H2,2.4,False,At-Risk
164,2024-H1,2.9,False,Struggling
164,2024-H2,2.7,False,Struggling
164,2025-H1,2.5,False,Struggling
164,2025-H2,2.4,False,At-Risk
164,2026-H1,2.4,False,At-Risk
165,2023-H2,4.0,False,Reliable
165,2024-H1,2.2,False,At-Risk
166,2024-H1,3.2,False,Struggling
166,2024-H2,3.0,False,Struggling
166,2025-H1,3.4,False,Struggling
166,2025-H2,3.5,False,Reliable
166,2026-H1,3.1,False,Struggling
167,2025-H2,3.5,False,Reliable
168,2022-H2,3.5,False,Reliable
168,2023-H1,2.8,False,Struggling
171,2024-H2,3.1,False,Struggling
171,2025-H1,3.8,False,Reliable
172,2026-H1,3.0,False,Struggling
173,2022-H2,3.1,False,Struggling
173,2023-H1,1.4,False,At-Risk
174,2022-H2,4.5,True,Star
174,2023-H1,4.7,False,Star
174,2023-H2,4.8,False,Star
174,2024-H1,4.6,False,Star
174,2024-H2,4.8,False,Star
174,2025-H1,3.4,False,Struggling
175,2024-H1,3.1,False,Struggling
175,2024-H2,3.1,False,Struggling
175,2025-H1,1.3,False,At-Risk
175,2025-H2,2.0,False,At-Risk
176,2023-H2,4.1,False,Reliable
176,2024-H1,4.4,False,Reliable
176,2024-H2,4.5,False,Star
176,2025-H1,4.0,False,Reliable
176,2025-H2,4.3,False,Reliable
176,2026-H1,4.2,False,Reliable
177,2025-H2,2.6,False,Struggling
177,2026-H1,3.0,False,Struggling
178,2025-H2,3.9,False,Reliable
178,2026-H1,4.0,False,Reliable
179,2026-H1,2.9,False,Struggling
181,2023-H2,4.4,False,Reliable
181,2024-H1,4.4,False,Reliable
181,2024-H2,4.3,False,Reliable
181,2025-H1,4.2,True,Reliable
181,2025-H2,4.3,True,Reliable
181,2026-H1,4.2,False,Reliable
182,2022-H2,1.3,False,At-Risk
183,2025-H1,3.5,False,Reliable
183,2025-H2,2.3,False,At-Risk
183,2026-H1,2.4,False,At-Risk
185,2025-H1,4.5,False,Star
185,2025-H2,4.4,False,Reliable
185,2026-H1,4.6,False,Star
